sub_num,stim_type,voltage,p1_visibility
1013,f,1.02844228504565,noticed
1015,f,1.71463156674016,ib
1016,f,1.10595432387931,ib
10,f,2.66683304522949,noticed
11,f,2.97105005122092,ib
12,f,0.154257877725366,ib
15,f,2.86790667070775,noticed
16,f,1.48214194351725,ib
17,f,1.51693991827767,ib
18,f,0.58899132547978,ib
1,f,0.805612434440376,noticed
5,f,1.44286280438538,noticed
6,f,2.96933818770412,ib
7,f,2.53424628563845,ib
8,f,2.05926448706939,noticed
9,f,4.95103159821143,ib
1013,h,1.1421798654284,noticed
1015,h,1.93565050036648,ib
1016,h,1.19300001964823,ib
10,h,2.83981074778135,noticed
11,h,3.01763079750913,ib
12,h,0.485610229386378,ib
15,h,2.7102619430238,noticed
16,h,1.27152992050583,ib
17,h,1.12326663427337,ib
18,h,1.05426531256917,ib
1,h,0.617308861122034,noticed
5,h,1.13995677604379,noticed
6,h,2.94544098837788,ib
7,h,1.68206733963313,ib
8,h,1.9657182314788,noticed
9,h,4.97521888862899,ib
